,Estimate; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households - Median household income (dollars),full_state_cluster,full_irsbrac_cluster,income_level,zi_irsbrac_cluster,full_quart_cluster,income_quartile,zi_quart_cluster,zi_state_cluster,full_sgroup_cluster,zi_sgroup_cluster,Group,Metro,State,zipcode,City,County,YoY,n1000,Total; Estimate; SUMMARY INDICATORS - Median age (years),Total; Estimate; SUMMARY INDICATORS - Sex ratio (males per 100 females),Total; Estimate; SUMMARY INDICATORS - Age dependency ratio,Total; Estimate; SUMMARY INDICATORS - Child dependency ratio,Estimate; HOUSEHOLDS BY TYPE - Average household size,"Estimate; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Unmarried women (widowed, divorced, and never married) - Per 1,000 unmarried women","Estimate; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Per 1,000 women 15 to 50 years old","Estimate; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Per 1,000 women 15 to 19 years old","Estimate; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Per 1,000 women 35 to 50 years old","Estimate; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea - Oceania",Estimate; ANCESTRY - Total population - Czech,Estimate; ANCESTRY - Total population - Danish,Estimate; ANCESTRY - Total population - Greek,Estimate; ANCESTRY - Total population - Lithuanian,Estimate; ANCESTRY - Total population - Slovak,Estimate; ANCESTRY - Total population - Swiss,Estimate; COMMUTING TO WORK - Mean travel time to work (minutes),Estimate; CLASS OF WORKER - Civilian employed population 16 years and over - Unpaid family workers
9430,50727.0,TX,1,2,1,1,1,1,FL,West South Central,East North Central,Mountain,Logan,ID,83263,Preston,Franklin County,0.107573565,0.0,34.7,106.0,88.8,60.9,2.92,0.0,55.0,0.0,12.0,0.0,0.0,857.0,0.0,16.0,0.0,286.0,25.8,11.0
9431,166949.0,NY,4,4,4,1,2,2,MA,Middle Atlantic,Middle Atlantic,Middle Atlantic,New York-Newark-Jersey City,NY,11797,Woodbury,Nassau County,0.021987405,1.0,50.2,84.3,88.8,36.7,2.61,0.0,72.0,0.0,48.0,9.0,5.0,0.0,188.0,123.0,11.0,10.0,42.0,0.0
9432,125000.0,NY,4,4,4,1,2,2,NJ,Middle Atlantic,Middle Atlantic,Middle Atlantic,New York-Newark-Jersey City,NY,11792,Wading River,Suffolk County,0.072731755,0.0,41.5,94.4,55.7,34.2,2.98,0.0,75.0,0.0,101.0,0.0,17.0,55.0,119.0,129.0,0.0,0.0,29.7,0.0
9433,52353.0,IN,2,2,1,1,1,1,NY,East North Central,East North Central,East North Central,Lafayette-West Lafayette,IN,46923,Delphi,Carroll County,0.173306773,1.0,42.5,99.4,75.5,39.8,2.52,37.0,41.0,54.0,0.0,0.0,10.0,5.0,39.0,0.0,0.0,18.0,26.6,0.0
9434,90600.0,NY,4,3,2,1,2,2,NJ,East North Central,East North Central,West North Central,St. Louis,MO,63348,Wentzville,Saint Charles County,0.047990636,0.0,46.0,90.3,54.3,27.9,2.75,0.0,11.0,0.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,35.0,37.5,28.0
9435,55132.0,CA,2,2,2,1,1,1,CA,East North Central,Pacific,Pacific,Santa Rosa,CA,95446,Guerneville,Sonoma County,0.037917882,0.0,50.9,117.5,46.4,14.2,2.02,45.0,30.0,0.0,0.0,9.0,19.0,81.0,14.0,8.0,9.0,78.0,32.0,8.0
9436,82406.0,NY,2,3,2,1,2,2,FL,East North Central,East North Central,New England,Barnstable Town,MA,2648,Barnstable,Barnstable County,0.024383486,0.0,49.7,94.3,60.0,30.5,2.44,0.0,59.0,0.0,19.0,0.0,18.0,34.0,47.0,36.0,0.0,0.0,22.5,30.0
9437,68206.0,TX,2,2,2,1,1,2,CA,West South Central,Pacific,Pacific,San Diego-Carlsbad,CA,91978,Spring Valley,San Diego County,0.051352411,0.0,36.7,90.5,68.2,44.0,3.07,32.0,57.0,0.0,0.0,0.0,44.0,46.0,14.0,24.0,0.0,0.0,25.1,17.0
9438,31999.0,NY,2,1,1,1,0,1,FL,East North Central,South Atlantic,South Atlantic,,SC,29148,Summerton,Clarendon County,0.07928571400000001,0.0,52.6,85.5,81.4,28.9,2.15,119.0,89.0,0.0,0.0,0.0,2.0,0.0,0.0,11.0,0.0,0.0,32.9,0.0
9439,68307.0,PA,2,2,2,1,1,1,IL,East North Central,East North Central,Middle Atlantic,Philadelphia-Camden-Wilmington,NJ,8065,Palmyra,Burlington County,0.083665339,0.0,42.1,93.2,49.6,26.9,2.44,18.0,37.0,52.0,18.0,0.0,0.0,7.0,9.0,45.0,11.0,9.0,27.4,5.0
9440,94593.0,NY,4,3,4,1,2,2,MA,Middle Atlantic,Middle Atlantic,Middle Atlantic,New York-Newark-Jersey City,NY,11752,Islip,Suffolk County,0.088235294,0.0,41.3,92.6,60.7,36.4,3.2,84.0,63.0,0.0,34.0,0.0,53.0,15.0,39.0,18.0,7.0,23.0,28.6,22.0
9441,35453.0,TX,2,1,1,1,0,1,TN,West South Central,South Atlantic,South Atlantic,Palatka,FL,32112,Crescent City,Putnam County,0.21925754100000008,0.0,37.3,88.3,101.3,54.8,2.89,89.0,68.0,41.0,30.0,0.0,37.0,47.0,16.0,0.0,0.0,0.0,32.2,0.0
9442,77022.0,NY,4,3,2,1,2,2,IL,East North Central,East North Central,East North Central,Detroit-Warren-Dearborn,MI,48356,Highland,Oakland County,0.058639212,0.0,45.3,103.8,62.5,35.9,2.63,11.0,41.0,0.0,31.0,0.0,66.0,6.0,84.0,9.0,14.0,0.0,35.2,5.0
9443,83531.0,NY,2,3,2,1,2,2,IL,East North Central,East North Central,West North Central,Minneapolis-St. Paul-Bloomington,MN,55079,Stacy,Chisago County,0.029246795,0.0,41.3,119.1,54.6,36.9,2.72,17.0,70.0,0.0,34.0,18.0,61.0,233.0,0.0,0.0,11.0,30.0,32.4,6.0
9444,73521.0,NY,4,2,2,1,1,1,PA,East North Central,East North Central,Middle Atlantic,Albany-Schenectady-Troy,NY,12033,Schodack,Rensselaer County,0.020972355,0.0,47.7,79.6,64.3,29.5,2.48,39.0,26.0,0.0,0.0,0.0,31.0,30.0,51.0,41.0,10.0,13.0,22.8,3.0
9445,45918.0,NY,2,1,1,1,0,1,FL,West South Central,South Atlantic,South Atlantic,Tampa-St. Petersburg-Clearwater,FL,33597,Webster,Hernando County,0.245531515,0.0,42.3,98.4,60.3,33.2,2.83,186.0,128.0,0.0,27.0,0.0,14.0,8.0,2.0,0.0,0.0,0.0,31.2,13.0
9446,64635.0,PA,2,2,2,1,1,1,FL,East North Central,East North Central,Middle Atlantic,Pittsburgh,PA,15139,Oakmont,Allegheny County,0.040142276,0.0,46.5,79.9,66.3,25.7,2.03,22.0,72.0,30.0,37.0,0.0,14.0,63.0,92.0,32.0,176.0,8.0,26.2,0.0
9447,80921.0,NY,4,3,2,1,2,2,IL,Middle Atlantic,East North Central,Middle Atlantic,East Stroudsburg,PA,18330,Effort,Monroe County,0.069767442,0.0,42.8,99.7,49.9,31.9,2.94,22.0,57.0,0.0,114.0,0.0,28.0,18.0,0.0,55.0,92.0,30.0,41.5,19.0
9448,40078.0,NY,2,1,1,1,0,1,FL,West South Central,South Atlantic,Mountain,Lake Havasu City-Kingman,AZ,86440,Mohave Valley,Mohave County,0.076409945,0.0,54.6,105.2,81.1,28.5,2.34,163.0,146.0,0.0,80.0,0.0,64.0,48.0,2.0,0.0,0.0,5.0,21.7,3.0
9449,57670.0,PA,2,2,1,1,1,1,OH,West South Central,East North Central,Middle Atlantic,Elmira,NY,14903,Elmira,Chemung County,-0.005567929,0.0,40.7,103.1,65.0,38.1,2.33,104.0,83.0,0.0,40.0,0.0,90.0,9.0,27.0,27.0,0.0,80.0,18.6,7.0
9450,52321.0,PA,2,2,1,1,1,1,FL,East North Central,East North Central,East North Central,Akron,OH,44231,Garrettsville,Portage County,0.0456621,0.0,45.5,94.9,61.1,32.2,2.44,9.0,51.0,0.0,17.0,0.0,265.0,7.0,0.0,7.0,190.0,97.0,33.9,20.0
9451,50907.0,CA,2,2,1,1,1,1,CA,East North Central,East North Central,New England,,NH,3894,Wolfeboro,Carroll County,0.04238571,0.0,57.2,101.2,97.9,25.2,2.08,0.0,87.0,0.0,0.0,0.0,0.0,0.0,30.0,31.0,0.0,0.0,26.8,0.0
9452,71011.0,NY,2,2,2,1,1,1,PA,East North Central,East North Central,South Atlantic,Washington-Arlington-Alexandria,WV,25430,Kearneysville,Jefferson County,0.0685,0.0,42.2,104.2,57.9,38.1,2.74,42.0,35.0,0.0,27.0,0.0,0.0,27.0,19.0,0.0,0.0,57.0,33.8,0.0
9453,85085.0,NY,4,3,2,1,2,2,NJ,Middle Atlantic,East North Central,South Atlantic,Washington-Arlington-Alexandria,WV,25443,Shepherdstown,Jefferson County,0.037144938,0.0,37.6,102.2,53.6,23.7,2.41,9.0,29.0,0.0,52.0,9.0,50.0,0.0,46.0,37.0,47.0,10.0,32.0,7.0
9454,37662.0,TX,2,1,1,1,0,1,TN,West South Central,South Atlantic,West South Central,Natchez,LA,71373,Vidalia,Concordia Parish,0.053107345,0.0,39.3,97.5,63.9,40.1,2.55,33.0,45.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.9,0.0
9455,30358.0,IN,2,1,1,1,0,1,TX,East North Central,South Atlantic,West South Central,,LA,71342,Jena,LaSalle Parish,0.093023256,0.0,40.3,86.0,69.3,38.6,2.64,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.1,0.0
9456,45941.0,IN,2,1,1,1,0,1,CA,East North Central,South Atlantic,Mountain,,CO,80461,Leadville,Lake County,0.102115915,0.0,39.0,120.3,40.9,25.6,2.22,23.0,33.0,0.0,0.0,27.0,79.0,15.0,0.0,20.0,13.0,18.0,28.6,0.0
9457,128203.0,NY,4,4,4,1,2,2,NJ,Middle Atlantic,Middle Atlantic,Middle Atlantic,New York-Newark-Jersey City,NJ,7676,Washington,Bergen County,-0.011370437,0.0,46.0,100.3,70.0,35.3,2.9,48.0,44.0,0.0,41.0,0.0,37.0,15.0,147.0,38.0,9.0,37.0,31.5,9.0
9458,93033.0,NY,2,3,4,1,2,2,MA,East North Central,Middle Atlantic,Middle Atlantic,New York-Newark-Jersey City,NY,10523,Elmsford,Westchester County,0.094334975,0.0,34.8,121.8,49.5,33.6,3.31,28.0,49.0,0.0,20.0,0.0,86.0,0.0,35.0,8.0,0.0,6.0,26.5,23.0
9459,96981.0,NY,4,3,4,1,2,2,IL,Middle Atlantic,Middle Atlantic,South Atlantic,Tampa-St. Petersburg-Clearwater,FL,33548,Lutz,Hillsborough County,0.052539913,0.0,45.3,98.6,64.1,33.4,2.76,0.0,36.0,0.0,31.0,0.0,34.0,19.0,0.0,0.0,23.0,5.0,31.7,47.0
9460,50271.0,IN,2,2,1,1,1,1,NY,East North Central,South Atlantic,East South Central,Birmingham-Hoover,AL,35005,Adamsville,Jefferson County,0.189959294,0.0,42.3,96.1,69.9,39.0,2.69,14.0,55.0,0.0,18.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,29.1,0.0
