,Estimate; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households - Median household income (dollars),full_state_cluster,full_irsbrac_cluster,income_level,zi_irsbrac_cluster,full_quart_cluster,income_quartile,zi_quart_cluster,zi_state_cluster,full_sgroup_cluster,zi_sgroup_cluster,Group,Metro,State,zipcode,City,County,YoY,n1000,Total; Estimate; SUMMARY INDICATORS - Median age (years),Total; Estimate; SUMMARY INDICATORS - Sex ratio (males per 100 females),Total; Estimate; SUMMARY INDICATORS - Age dependency ratio,Total; Estimate; SUMMARY INDICATORS - Child dependency ratio,Estimate; HOUSEHOLDS BY TYPE - Average household size,"Estimate; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Unmarried women (widowed, divorced, and never married) - Per 1,000 unmarried women","Estimate; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Per 1,000 women 15 to 50 years old","Estimate; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Per 1,000 women 15 to 19 years old","Estimate; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Per 1,000 women 35 to 50 years old","Estimate; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea - Oceania",Estimate; ANCESTRY - Total population - Czech,Estimate; ANCESTRY - Total population - Danish,Estimate; ANCESTRY - Total population - Greek,Estimate; ANCESTRY - Total population - Lithuanian,Estimate; ANCESTRY - Total population - Slovak,Estimate; ANCESTRY - Total population - Swiss,Estimate; COMMUTING TO WORK - Mean travel time to work (minutes),Estimate; CLASS OF WORKER - Civilian employed population 16 years and over - Unpaid family workers
4736,40242.0,CA,1,1,1,1,0,1,TN,South Atlantic,South Atlantic,East South Central,Cincinnati,KY,41071,Newport,Campbell County,0.124876115,0.0,35.1,99.4,49.5,30.9,2.29,34.0,52.0,0.0,28.0,7.0,40.0,118.0,102.0,17.0,5.0,38.0,20.3,4.0
4737,50856.0,MI,1,2,1,1,1,1,NY,South Atlantic,East North Central,Middle Atlantic,Buffalo-Cheektowaga-Niagara Falls,NY,14220,Buffalo,Erie County,0.114754098,1.0,36.6,94.0,55.5,33.7,2.41,34.0,57.0,0.0,23.0,0.0,17.0,21.0,96.0,2.0,28.0,0.0,20.5,17.0
4738,49972.0,CA,1,1,1,1,1,1,NY,South Atlantic,South Atlantic,Middle Atlantic,Rochester,NY,14623,Henrietta,Monroe County,0.020346647,2.0,26.9,109.1,32.8,16.7,2.38,9.0,46.0,14.0,46.0,0.0,6.0,70.0,48.0,68.0,77.0,61.0,17.5,0.0
4739,30322.0,TX,1,1,1,1,0,1,TX,West South Central,South Atlantic,South Atlantic,Columbus,GA,31906,Columbus,Muscogee County,0.306238185,0.0,37.0,79.0,64.9,40.8,2.46,93.0,83.0,88.0,16.0,0.0,3.0,52.0,0.0,0.0,0.0,7.0,16.8,26.0
4740,54167.0,FL,4,2,1,1,1,1,FL,Middle Atlantic,East North Central,West South Central,Little Rock-North Little Rock-Conway,AR,71909,Hot Springs Village,Saline County,0.023335231,0.0,67.3,89.1,190.9,21.7,1.98,29.0,42.0,0.0,0.0,0.0,80.0,199.0,92.0,94.0,0.0,119.0,28.3,0.0
4741,43166.0,TX,1,1,1,1,0,1,FL,South Atlantic,South Atlantic,Pacific,Roseburg,OR,97470,Roseburg,Douglas County,0.135428571,1.0,41.2,98.6,71.9,34.3,2.25,26.0,78.0,19.0,29.0,0.0,113.0,247.0,0.0,0.0,0.0,70.0,16.5,0.0
4742,50947.0,NE,1,2,1,1,1,1,FL,West North Central,East North Central,West South Central,Dallas-Fort Worth-Arlington,TX,75119,Ennis,Ellis County,0.144793153,0.0,34.8,96.7,64.1,44.2,2.98,64.0,61.0,59.0,9.0,0.0,1759.0,44.0,3.0,0.0,6.0,16.0,27.5,37.0
4743,85094.0,FL,4,3,2,2,2,2,CA,Middle Atlantic,Pacific,South Atlantic,Naples-Immokalee-Marco Island,FL,34103,Naples,Collier County,-0.014070095,0.0,63.1,87.5,128.8,23.0,2.11,0.0,53.0,0.0,31.0,29.0,31.0,104.0,123.0,40.0,49.0,20.0,17.7,28.0
4744,73578.0,CA,1,2,2,1,1,2,FL,South Atlantic,East North Central,West South Central,Dallas-Fort Worth-Arlington,TX,75001,Addison,Dallas County,0.09016651,3.0,32.9,103.1,24.6,15.3,1.76,26.0,39.0,0.0,30.0,0.0,59.0,11.0,64.0,16.0,0.0,36.0,22.3,0.0
4745,48730.0,CA,1,1,1,1,1,1,CA,South Atlantic,East North Central,Pacific,Riverside-San Bernardino-Ontario,CA,92394,Victorville,San Bernardino County,0.062393162,0.0,29.5,110.7,63.8,54.4,3.9,25.0,55.0,0.0,26.0,0.0,0.0,0.0,268.0,0.0,112.0,0.0,33.5,33.0
4746,54402.0,TX,1,2,1,1,1,1,NY,South Atlantic,East North Central,East North Central,Indianapolis-Carmel-Anderson,IN,46052,Lebanon,Boone County,0.075104312,0.0,42.6,98.9,61.8,34.4,2.28,53.0,62.0,107.0,16.0,0.0,37.0,26.0,91.0,19.0,28.0,25.0,23.4,0.0
4747,53492.0,CA,1,2,2,1,1,1,CA,South Atlantic,Pacific,Pacific,Los Angeles-Long Beach-Anaheim,CA,90680,Stanton,Orange County,0.076875259,0.0,34.6,98.8,60.9,42.5,3.52,35.0,48.0,0.0,35.0,83.0,28.0,70.0,59.0,11.0,0.0,74.0,28.8,26.0
4748,40713.0,PA,1,1,1,1,0,1,TN,South Atlantic,South Atlantic,East North Central,Youngstown-Warren-Boardman,OH,44446,Niles,Trumbull County,0.095087163,1.0,42.8,89.8,62.6,32.1,2.22,53.0,42.0,0.0,30.0,0.0,11.0,0.0,99.0,16.0,555.0,22.0,18.6,0.0
4749,41777.0,TX,1,1,1,1,0,1,PA,South Atlantic,South Atlantic,West North Central,Kansas City,MO,64052,Independence,Jackson County,0.113636364,0.0,40.3,93.4,60.6,35.7,2.27,16.0,40.0,51.0,6.0,0.0,43.0,0.0,23.0,15.0,0.0,15.0,23.5,0.0
4750,36147.0,TX,1,1,1,1,0,1,TN,West South Central,South Atlantic,South Atlantic,Atlanta-Sandy Springs-Roswell,GA,30291,Union City,Fulton County,0.187962963,0.0,32.0,66.6,71.1,51.0,2.59,37.0,49.0,80.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,30.0,0.0
4751,31261.0,TX,1,1,1,1,0,1,TX,South Atlantic,South Atlantic,South Atlantic,Spartanburg,SC,29303,Spartanburg,Spartanburg County,0.152690864,2.0,31.2,94.5,49.6,31.4,2.42,23.0,37.0,44.0,16.0,4.0,4.0,0.0,32.0,8.0,0.0,43.0,17.7,53.0
4752,71624.0,CA,1,2,2,1,1,1,PA,South Atlantic,East North Central,East North Central,Detroit-Warren-Dearborn,MI,48083,Troy,Oakland County,0.07788162,4.0,40.3,102.2,55.5,30.8,2.49,0.0,39.0,0.0,13.0,0.0,99.0,77.0,63.0,49.0,42.0,70.0,25.4,0.0
4753,39934.0,TX,1,1,1,1,0,1,TN,South Atlantic,South Atlantic,South Atlantic,Huntington-Ashland,WV,25705,Huntington,Cabell County,0.074871795,0.0,36.8,89.8,65.4,39.1,2.3,24.0,43.0,0.0,0.0,8.0,8.0,5.0,0.0,6.0,26.0,0.0,18.8,0.0
4754,113553.0,NJ,4,4,4,2,2,2,CA,Middle Atlantic,Middle Atlantic,New England,Boston-Cambridge-Newton,MA,1867,Reading,Middlesex County,0.012732278,0.0,42.5,100.6,66.1,39.9,2.73,21.0,55.0,0.0,61.0,0.0,0.0,166.0,432.0,91.0,0.0,107.0,32.5,14.0
4755,56744.0,UT,2,2,2,2,1,1,CA,West North Central,East North Central,Mountain,Provo-Orem,UT,84058,Orem,Utah County,0.160261059,0.0,24.6,103.1,58.0,46.4,3.34,27.0,104.0,0.0,47.0,121.0,69.0,1992.0,41.0,11.0,48.0,788.0,18.6,31.0
4756,114675.0,CA,2,4,4,2,2,2,CA,Pacific,Pacific,Pacific,San Jose-Sunnyvale-Santa Clara,CA,95131,San Jose,Santa Clara County,0.073847052,3.0,36.3,108.3,42.2,26.5,3.24,0.0,74.0,0.0,64.0,102.0,0.0,39.0,63.0,28.0,0.0,18.0,26.9,11.0
4757,31069.0,TX,1,1,1,1,0,1,TX,West South Central,South Atlantic,South Atlantic,Laurinburg,NC,28352,Laurinburg,Scotland County,0.078877005,0.0,37.8,97.6,66.3,40.2,2.46,82.0,81.0,13.0,32.0,0.0,0.0,8.0,0.0,12.0,0.0,17.0,20.6,15.0
4758,88584.0,PA,1,3,2,1,2,2,NJ,South Atlantic,East North Central,East North Central,Fort Wayne,IN,46845,Fort Wayne,Allen County,0.095,1.0,40.2,101.2,76.0,49.7,2.8,22.0,45.0,16.0,22.0,0.0,33.0,51.0,128.0,42.0,34.0,218.0,20.4,15.0
4759,54422.0,MI,2,2,1,1,1,1,FL,South Atlantic,East North Central,New England,New Haven-Milford,CT,6451,Meriden,New Haven County,0.06052963400000001,1.0,41.3,86.0,49.6,27.4,2.31,16.0,33.0,0.0,12.0,0.0,102.0,105.0,320.0,42.0,108.0,6.0,23.7,43.0
4760,75042.0,CA,1,3,2,1,1,2,FL,West South Central,East North Central,West South Central,Midland,TX,79706,Midland,Midland County,0.191360364,1.0,29.6,95.2,73.3,61.1,3.35,102.0,106.0,30.0,29.0,0.0,39.0,0.0,0.0,0.0,0.0,20.0,24.3,67.0
4761,58207.0,TX,1,2,1,1,1,1,OH,South Atlantic,East North Central,West South Central,Longview,TX,75662,Kilgore,Gregg County,-0.068230277,0.0,35.1,102.5,65.0,41.0,2.8,45.0,59.0,0.0,6.0,0.0,78.0,12.0,48.0,0.0,0.0,4.0,23.0,17.0
4762,76740.0,PA,2,3,2,2,2,2,IL,East North Central,East North Central,East North Central,Cleveland-Elyria,OH,44024,Chardon,Geauga County,0.068902992,0.0,44.3,99.0,68.8,37.1,2.52,2.0,35.0,0.0,10.0,0.0,393.0,265.0,88.0,286.0,595.0,69.0,27.1,0.0
4763,68701.0,CA,1,2,2,1,1,1,PA,South Atlantic,East North Central,East North Central,Milwaukee-Waukesha-West Allis,WI,53027,Hartford,Washington County,0.065729828,0.0,42.0,101.8,66.5,39.5,2.49,53.0,88.0,0.0,36.0,0.0,383.0,197.0,5.0,11.0,36.0,125.0,25.4,0.0
4764,78307.0,CA,1,3,2,1,2,2,FL,South Atlantic,East North Central,Pacific,Portland-Vancouver-Hillsboro,WA,98671,Washougal,Clark County,0.063029661,0.0,41.7,100.8,66.1,40.6,2.7,78.0,77.0,26.0,8.0,0.0,79.0,144.0,98.0,79.0,12.0,135.0,31.4,0.0
4765,151250.0,NY,4,4,4,2,2,2,NJ,Middle Atlantic,Middle Atlantic,New England,Bridgeport-Stamford-Norwalk,CT,6877,Ridgefield,Fairfield County,0.005352961,1.0,45.1,94.1,80.0,51.0,2.75,0.0,38.0,0.0,50.0,78.0,97.0,142.0,109.0,101.0,32.0,136.0,36.6,51.0
4766,49736.0,TX,1,1,1,1,1,1,NY,South Atlantic,South Atlantic,East North Central,Madison,IN,47250,Madison,Jefferson County,0.17162872199999998,0.0,42.0,86.0,57.0,32.5,2.26,66.0,70.0,141.0,26.0,0.0,90.0,93.0,2.0,12.0,0.0,20.0,21.9,85.0
4767,31287.0,TX,1,1,1,1,0,1,TX,South Atlantic,South Atlantic,West South Central,Bastrop,LA,71220,Bastrop,Morehouse Parish,0.025773196,0.0,37.2,87.1,71.6,44.8,2.55,12.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,23.2,15.0
4768,49950.0,CA,1,1,2,1,1,1,CA,South Atlantic,Pacific,Pacific,San Diego-Carlsbad,CA,91932,Imperial Beach,San Diego County,0.03295006,0.0,32.6,96.4,58.4,41.8,3.02,30.0,68.0,0.0,27.0,40.0,21.0,101.0,28.0,0.0,29.0,27.0,26.9,0.0
4769,71464.0,OH,2,2,2,2,1,1,PA,East North Central,East North Central,East North Central,Youngstown-Warren-Boardman,OH,44406,Canfield,Mahoning County,0.052898143,0.0,47.0,97.5,69.0,33.0,2.47,9.0,16.0,0.0,6.0,0.0,45.0,30.0,173.0,20.0,1838.0,78.0,25.0,0.0
4770,33750.0,CA,1,1,1,1,0,1,TX,West South Central,South Atlantic,West South Central,Houston-The Woodlands-Sugar Land,TX,77033,Houston,Harris County,0.147895336,0.0,34.7,88.6,72.0,46.7,3.24,93.0,83.0,51.0,13.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,27.8,0.0
4771,82265.0,FL,1,3,2,1,2,2,FL,Pacific,East North Central,South Atlantic,Miami-Fort Lauderdale-West Palm Beach,FL,33470,Loxahatchee Groves,Palm Beach County,0.039233038,0.0,41.1,101.8,49.4,32.8,3.32,24.0,30.0,0.0,12.0,30.0,40.0,67.0,1.0,0.0,19.0,65.0,37.1,22.0
4772,74918.0,CA,2,2,2,2,1,2,CA,West North Central,Pacific,Mountain,Salt Lake City,UT,84105,Salt Lake City,Salt Lake County,0.064338235,1.0,34.5,99.7,39.1,26.0,2.34,18.0,57.0,0.0,64.0,34.0,65.0,1116.0,337.0,92.0,18.0,149.0,17.4,20.0
4773,55422.0,CA,1,2,2,1,1,1,CA,South Atlantic,East North Central,Pacific,Modesto,CA,95358,Modesto,Stanislaus County,0.074059561,1.0,30.6,111.4,60.4,47.0,3.68,27.0,32.0,10.0,17.0,110.0,0.0,118.0,27.0,8.0,0.0,292.0,31.5,20.0
4774,57330.0,CA,2,2,2,1,1,1,CA,South Atlantic,East North Central,Pacific,Portland-Vancouver-Hillsboro,WA,98664,Vancouver,Clark County,0.065202471,1.0,41.3,87.9,59.7,31.6,2.42,44.0,57.0,0.0,0.0,105.0,157.0,183.0,67.0,35.0,25.0,95.0,25.2,61.0
4775,96031.0,NJ,4,3,4,2,2,2,NY,South Atlantic,Middle Atlantic,South Atlantic,Washington-Arlington-Alexandria,VA,22150,Springfield,Fairfax County,0.022978347000000003,1.0,39.7,96.6,64.5,34.8,3.03,22.0,66.0,0.0,49.0,0.0,12.0,41.0,226.0,98.0,62.0,45.0,30.7,24.0
4776,82351.0,MD,1,3,2,1,2,2,FL,South Atlantic,East North Central,South Atlantic,Washington-Arlington-Alexandria,MD,20705,Beltsville,Prince Georges County,0.096365996,1.0,37.6,94.0,55.3,37.2,3.14,24.0,63.0,16.0,44.0,0.0,60.0,13.0,25.0,31.0,16.0,21.0,34.5,0.0
4777,38686.0,TX,1,1,1,1,0,1,FL,South Atlantic,South Atlantic,South Atlantic,Virginia Beach-Norfolk-Newport News,VA,23324,Chesapeake,Chesapeake City,0.044936709000000005,0.0,31.1,82.8,66.4,47.9,2.73,39.0,56.0,18.0,25.0,1.0,28.0,9.0,17.0,0.0,6.0,26.0,24.3,10.0
4778,76232.0,NJ,1,3,2,1,2,2,PA,South Atlantic,East North Central,East North Central,Chicago-Naperville-Elgin,IL,60538,Montgomery,Kendall County,0.044035674,0.0,33.1,96.5,69.3,54.3,3.11,16.0,49.0,0.0,40.0,6.0,258.0,135.0,68.0,154.0,155.0,10.0,30.4,0.0
4779,56485.0,CA,1,2,1,1,1,1,OH,West South Central,East North Central,West South Central,El Paso,TX,79932,El Paso,El Paso County,0.011993147,0.0,31.6,93.4,65.7,49.9,3.18,46.0,73.0,67.0,33.0,0.0,84.0,85.0,42.0,13.0,0.0,64.0,24.4,28.0
4780,33105.0,TX,1,1,1,1,0,1,FL,South Atlantic,South Atlantic,East South Central,Nashville-Davidson--Murfreesboro--Franklin,TN,37208,Nashville,Davidson County,0.105072464,0.0,31.5,77.0,46.4,31.8,2.29,61.0,62.0,79.0,9.0,0.0,0.0,10.0,84.0,13.0,11.0,21.0,21.1,0.0
4781,72478.0,FL,2,2,2,1,1,2,CA,Pacific,Pacific,Pacific,Seattle-Tacoma-Bellevue,WA,98178,Bryn Mawr-Skyway,King County,-0.012373453,0.0,38.5,90.5,60.4,38.8,2.86,31.0,40.0,0.0,17.0,123.0,8.0,182.0,64.0,113.0,39.0,61.0,33.5,20.0
4782,52749.0,NC,1,2,1,1,1,1,FL,South Atlantic,East North Central,East South Central,Sevierville,TN,37865,Seymour,Sevier County,0.09213615,0.0,41.4,88.6,62.0,34.9,2.53,36.0,38.0,0.0,9.0,0.0,20.0,82.0,0.0,0.0,12.0,85.0,31.3,45.0
4783,75160.0,PA,1,3,2,1,1,1,PA,South Atlantic,East North Central,West North Central,Kansas City,KS,66109,Kansas City,Wyandotte County,0.096505824,0.0,39.3,94.2,66.9,42.8,2.71,9.0,51.0,11.0,30.0,0.0,42.0,45.0,34.0,16.0,30.0,57.0,22.6,0.0
4784,74056.0,PA,2,2,2,2,1,2,PA,East North Central,East North Central,Middle Atlantic,Trenton,NJ,8619,Hamilton,Mercer County,0.060756076,1.0,42.7,89.5,57.2,29.3,2.5,18.0,73.0,0.0,86.0,16.0,121.0,30.0,190.0,119.0,319.0,0.0,25.3,10.0
4785,74786.0,NC,1,2,2,2,1,2,CA,South Atlantic,East North Central,South Atlantic,Raleigh,NC,27607,Raleigh,Wake County,0.022449489,3.0,24.0,93.7,28.0,17.9,2.49,4.0,12.0,0.0,13.0,82.0,87.0,70.0,160.0,88.0,13.0,94.0,20.9,0.0
4786,53022.0,LA,1,2,1,1,1,1,FL,South Atlantic,East North Central,New England,Boston-Cambridge-Newton,NH,3867,Rochester,Strafford County,0.078097475,0.0,41.5,99.3,57.1,29.4,2.28,6.0,39.0,0.0,31.0,0.0,30.0,32.0,293.0,48.0,26.0,0.0,27.0,0.0
4787,177853.0,NY,4,4,4,2,2,2,NJ,Middle Atlantic,Middle Atlantic,South Atlantic,Washington-Arlington-Alexandria,VA,22182,Vienna,Fairfax County,0.025150421000000003,3.0,41.3,101.7,70.9,44.1,2.99,17.0,37.0,26.0,27.0,6.0,133.0,131.0,460.0,65.0,46.0,98.0,30.7,28.0
4788,78302.0,UT,2,3,2,2,2,2,FL,West North Central,East North Central,Mountain,Salt Lake City,UT,84094,Sandy,Salt Lake County,0.103239479,0.0,33.9,93.0,60.5,43.4,3.13,0.0,39.0,0.0,16.0,39.0,42.0,906.0,198.0,7.0,0.0,443.0,23.3,41.0
4789,128646.0,TX,2,4,4,2,2,2,NJ,Pacific,Middle Atlantic,West South Central,Houston-The Woodlands-Sugar Land,TX,77345,Houston,Harris County,0.012274122,0.0,40.6,96.9,69.0,46.6,2.99,6.0,29.0,0.0,19.0,24.0,330.0,199.0,201.0,9.0,55.0,30.0,35.6,39.0
4790,51210.0,CA,1,2,1,1,1,1,FL,South Atlantic,East North Central,East South Central,Chattanooga,TN,37405,Chattanooga,Hamilton County,0.044720497000000005,0.0,36.8,95.4,47.3,24.6,2.13,17.0,37.0,71.0,26.0,0.0,30.0,221.0,10.0,18.0,0.0,36.0,17.5,20.0
4791,48702.0,PA,1,1,1,1,1,1,FL,South Atlantic,South Atlantic,East North Central,Wilmington,OH,45177,Wilmington,Clinton County,0.069156293,0.0,41.4,101.3,63.7,35.7,2.33,25.0,34.0,18.0,26.0,25.0,41.0,9.0,17.0,9.0,16.0,138.0,23.1,26.0
4792,122854.0,MN,2,4,4,2,2,2,NJ,West North Central,Middle Atlantic,West North Central,Minneapolis-St. Paul-Bloomington,MN,55129,Woodbury,Washington County,0.059652655,0.0,35.1,94.0,66.6,52.8,2.98,6.0,58.0,0.0,62.0,0.0,318.0,233.0,0.0,0.0,51.0,44.0,25.3,14.0
4793,80932.0,NJ,4,3,2,2,2,2,CA,Middle Atlantic,Pacific,Middle Atlantic,New York-Newark-Jersey City,NY,10471,New York,Bronx County,0.040199372,2.0,42.9,86.7,68.2,28.8,2.19,2.0,36.0,0.0,10.0,14.0,49.0,49.0,341.0,84.0,18.0,35.0,44.6,3.0
4794,77163.0,CA,2,3,2,1,2,2,CA,Pacific,East North Central,Pacific,Seattle-Tacoma-Bellevue,WA,98292,Stanwood,Snohomish County,0.033206831,0.0,45.7,103.7,66.7,36.2,2.58,76.0,52.0,88.0,21.0,64.0,172.0,199.0,60.0,0.0,0.0,92.0,30.7,14.0
4795,91431.0,TX,2,3,4,2,2,2,NJ,Pacific,East North Central,West South Central,Houston-The Woodlands-Sugar Land,TX,77478,Sugar Land,Fort Bend County,0.026574803,2.0,46.1,101.7,61.5,30.7,2.73,0.0,59.0,0.0,45.0,0.0,216.0,93.0,175.0,25.0,18.0,0.0,27.8,58.0
4796,41979.0,TX,1,1,1,1,0,1,PA,South Atlantic,South Atlantic,South Atlantic,Cedartown,GA,30125,Cedartown,Polk County,0.101431981,0.0,37.6,93.7,70.1,44.1,2.74,55.0,63.0,59.0,6.0,0.0,21.0,19.0,33.0,0.0,0.0,0.0,24.9,0.0
4797,108828.0,NJ,4,4,4,1,2,2,IL,Middle Atlantic,Middle Atlantic,East North Central,Cincinnati,OH,45066,Springboro,Warren County,0.051550544,0.0,38.3,93.2,73.6,52.1,2.88,9.0,52.0,0.0,43.0,0.0,34.0,46.0,60.0,194.0,27.0,128.0,23.7,30.0
4798,43867.0,FL,1,1,1,1,0,1,FL,South Atlantic,South Atlantic,New England,Bridgeport-Stamford-Norwalk,CT,6610,Bridgeport,Fairfield County,0.141134752,1.0,37.6,91.1,57.0,36.1,2.62,35.0,49.0,0.0,26.0,0.0,17.0,0.0,51.0,68.0,152.0,0.0,29.5,13.0
4799,40931.0,PA,1,1,1,1,0,1,FL,South Atlantic,South Atlantic,South Atlantic,Deltona-Daytona Beach-Ormond Beach,FL,32763,Orange City,Volusia County,0.102356902,0.0,42.7,91.7,68.3,33.9,2.51,13.0,34.0,6.0,6.0,26.0,42.0,8.0,20.0,20.0,48.0,13.0,27.6,0.0
4800,52167.0,PA,2,2,1,1,1,1,NY,South Atlantic,East North Central,East North Central,Toledo,OH,43623,Toledo,Lucas County,0.014604811,0.0,43.4,87.2,65.6,33.3,2.14,14.0,32.0,10.0,12.0,0.0,49.0,58.0,109.0,208.0,31.0,124.0,18.2,9.0
4801,34566.0,CA,1,1,1,1,0,1,CA,West South Central,Pacific,Pacific,San Francisco-Oakland-Hayward,CA,94621,Oakland,Alameda County,0.066176471,3.0,29.2,95.6,67.7,55.1,3.51,71.0,90.0,20.0,56.0,40.0,0.0,5.0,17.0,0.0,0.0,0.0,30.5,0.0
4802,114050.0,NJ,4,4,4,2,2,2,CA,Middle Atlantic,Middle Atlantic,South Atlantic,Washington-Arlington-Alexandria,VA,22043,Falls Church,Fairfax County,0.048974189,1.0,36.0,106.5,51.0,33.5,2.78,21.0,57.0,0.0,41.0,15.0,50.0,103.0,68.0,147.0,21.0,87.0,27.6,0.0
4803,37570.0,TX,1,1,1,1,0,1,TN,South Atlantic,South Atlantic,East South Central,Knoxville,TN,37914,Knoxville,Knox County,0.21905805,0.0,40.4,86.5,68.7,38.8,2.39,45.0,47.0,0.0,29.0,0.0,16.0,43.0,33.0,10.0,0.0,12.0,22.5,8.0
4804,82543.0,NJ,4,3,2,1,2,2,FL,Middle Atlantic,East North Central,Middle Atlantic,New York-Newark-Jersey City,NY,11763,Medford,Suffolk County,0.05754432900000001,0.0,38.3,88.9,55.7,33.5,3.01,4.0,16.0,0.0,8.0,0.0,157.0,9.0,333.0,107.0,0.0,38.0,33.0,4.0
4805,52234.0,CA,1,2,1,1,1,1,FL,West South Central,East North Central,Mountain,Phoenix-Mesa-Scottsdale,AZ,85303,Glendale,Maricopa County,0.08617971599999999,0.0,30.5,93.5,60.4,48.6,3.47,34.0,69.0,25.0,31.0,25.0,48.0,197.0,52.0,16.0,33.0,0.0,30.2,17.0
4806,64577.0,CA,2,2,2,2,1,1,FL,West North Central,East North Central,West North Central,Iowa City,IA,52245,Iowa City,Johnson County,0.020188425,2.0,25.6,102.0,36.8,22.6,2.3,6.0,23.0,0.0,4.0,0.0,670.0,164.0,160.0,66.0,34.0,204.0,16.2,40.0
4807,73363.0,CA,2,2,2,1,1,2,FL,Pacific,East North Central,Pacific,Spokane-Spokane Valley,WA,99203,Spokane,Spokane County,0.085714286,0.0,43.3,92.5,74.1,37.7,2.28,7.0,50.0,0.0,22.0,10.0,257.0,347.0,93.0,0.0,31.0,95.0,17.8,3.0
4808,96277.0,CA,2,3,2,2,2,2,CA,Pacific,Pacific,Pacific,Seattle-Tacoma-Bellevue,WA,98028,Kenmore,King County,0.002564103,0.0,39.7,96.9,59.1,36.3,2.54,21.0,66.0,0.0,24.0,31.0,151.0,309.0,8.0,123.0,8.0,152.0,33.4,0.0
4809,72712.0,TX,1,2,2,1,1,1,PA,South Atlantic,East North Central,West South Central,Amarillo,TX,79118,Amarillo,Potter County,0.050086356,1.0,35.0,103.2,59.2,42.2,2.88,22.0,52.0,35.0,34.0,0.0,42.0,27.0,10.0,2.0,0.0,58.0,21.0,6.0
4810,164682.0,TX,4,4,4,2,2,2,NJ,Pacific,Middle Atlantic,West South Central,Dallas-Fort Worth-Arlington,TX,76034,Colleyville,Tarrant County,0.045463770999999986,0.0,47.8,102.3,67.1,40.4,2.89,11.0,53.0,0.0,55.0,104.0,280.0,109.0,232.0,51.0,18.0,40.0,28.3,20.0
4811,84360.0,CA,4,3,2,1,2,2,FL,South Atlantic,East North Central,Middle Atlantic,Philadelphia-Camden-Wilmington,PA,19428,Conshohocken,Montgomery County,0.054271034,0.0,34.1,103.2,38.0,19.7,2.15,19.0,58.0,0.0,36.0,0.0,67.0,34.0,157.0,110.0,81.0,32.0,27.9,14.0
4812,73154.0,CA,1,2,2,1,1,2,CA,South Atlantic,Pacific,Mountain,Denver-Aurora-Lakewood,CO,80212,Denver,Denver County,0.07992641,0.0,38.2,92.4,42.2,24.3,2.17,21.0,73.0,0.0,77.0,28.0,165.0,129.0,115.0,11.0,12.0,125.0,24.4,0.0
4813,98459.0,MI,2,3,4,2,2,2,IL,East North Central,Middle Atlantic,East North Central,Chicago-Naperville-Elgin,IL,60013,Cary,McHenry County,0.053452116,0.0,39.9,102.0,54.8,38.9,2.87,23.0,56.0,20.0,16.0,0.0,567.0,160.0,449.0,85.0,133.0,133.0,35.1,0.0
4814,160618.0,TX,2,4,4,2,2,2,NJ,Pacific,Middle Atlantic,Pacific,Seattle-Tacoma-Bellevue,WA,98074,Sammamish,King County,-0.008265374,0.0,38.9,99.9,58.3,47.8,2.99,0.0,32.0,0.0,24.0,41.0,29.0,221.0,96.0,30.0,41.0,186.0,31.4,44.0
4815,100139.0,FL,4,4,2,1,2,2,CA,Middle Atlantic,Pacific,South Atlantic,Miami-Fort Lauderdale-West Palm Beach,FL,33480,Palm Beach,Palm Beach County,0.127521947,1.0,68.2,82.9,196.4,18.1,1.78,0.0,36.0,0.0,47.0,34.0,22.0,18.0,137.0,61.0,0.0,35.0,22.1,46.0
4816,60756.0,CA,1,2,2,1,1,1,FL,South Atlantic,East North Central,Mountain,Phoenix-Mesa-Scottsdale,AZ,85306,Glendale,Maricopa County,0.07126948799999999,2.0,37.8,93.0,54.2,33.2,2.74,39.0,61.0,0.0,10.0,69.0,69.0,83.0,142.0,12.0,55.0,49.0,25.4,0.0
4817,45482.0,TX,1,1,1,1,0,1,PA,South Atlantic,South Atlantic,East North Central,Cincinnati,OH,45224,Cincinnati,Hamilton County,0.101694915,1.0,45.3,78.7,68.9,34.1,2.16,23.0,50.0,0.0,15.0,0.0,65.0,0.0,22.0,8.0,0.0,73.0,25.7,20.0
4818,90320.0,NJ,4,3,4,2,2,2,CA,Middle Atlantic,Middle Atlantic,New England,Boston-Cambridge-Newton,MA,2180,Stoneham,Middlesex County,0.037586739,0.0,44.4,94.1,57.9,28.3,2.41,9.0,51.0,0.0,31.0,15.0,46.0,131.0,368.0,92.0,18.0,98.0,29.2,19.0
